ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area;geo_point_2d,,,,Longitude,Latitude
"688 W Hastings St;Independent School;Alexander Academy;""{""""coordinates"""": [-123.11400985419304",49.2850006," """"type"""": """"Point""""}"";Downtown;49.2850005993",-123.1140099,-123.1140099,49.2850006
"5025 Willow St;Public School;BC Children's Adol. Psych. Unit;""{""""coordinates"""": [-123.12579095999999",49.23963096," """"type"""": """"Point""""}"";South Cambie;49.2396309611",-123.125791,-123.125791,49.23963096
"1001 Cotton Drive;Public School;Britannia Community Secondary;""{""""coordinates"""": [-123.07192309841",49.27523599," """"type"""": """"Point""""}"";Grandview-Woodland;49.2752359909",-123.0719231,-123.0719231,49.27523599
"3340 E 54th Av;Public School;Captain James Cook Elementary;""{""""coordinates"""": [-123.03582905",49.2193808," """"type"""": """"Point""""}"";Killarney;49.2193807991",-123.0358291,-123.0358291,49.2193808
"3340 E 54th Av;StrongStart BC;Captain James Cook StrongStart Centre;""{""""coordinates"""": [-123.03582905",49.2193808," """"type"""": """"Point""""}"";Killarney;49.2193807991",-123.0358291,-123.0358291,49.2193808
"2684 E 2nd Av;StrongStart BC;Chief Maquinna StrongStart Centre;""{""""coordinates"""": [-123.05058984",49.26788631," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2678863131",-123.0505898,-123.0505898,49.26788631
"3575 Kaslo St;Independent School;Children's Hearing and Speech Centre BC;""{""""coordinates"""": [-123.0483494372457",49.25235797," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2523579685",-123.0483494,-123.0483494,49.25235797
"3417 Euclid Av;Public School;Collingwood Neighbourhood School;""{""""coordinates"""": [-123.032313",49.2363486," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2363485991",-123.032313,-123.032313,49.2363486
"1755 E 55th Av;Public School;David Thompson Secondary;""{""""coordinates"""": [-123.07063159999998",49.22043926," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2204392561",-123.0706316,-123.0706316,49.22043926
"555 Lillooet St;Public School;Dr A R Lord Elementary;""{""""coordinates"""": [-123.03951720287967",49.27964048," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2796404842",-123.0395172,-123.0395172,49.27964048
"6350 Tisdall St;Public School;Dr Annie B Jamieson Elementary;""{""""coordinates"""": [-123.12100426",49.22690694," """"type"""": """"Point""""}"";Oakridge;49.2269069351",-123.1210043,-123.1210043,49.22690694
"3050 Crown St;Public School;Ecole Jules Quesnel Elementary;""{""""coordinates"""": [-123.19253813000002",49.25956781," """"type"""": """"Point""""}"";West Point Grey;49.2595678051",-123.1925381,-123.1925381,49.25956781
"150 Drake St;Public School;Elsie Roy Elementary;""{""""coordinates"""": [-123.122482",49.272238," """"type"""": """"Point""""}"";Downtown;49.2722379991",-123.122482,-123.122482,49.272238
"4070 Oak St;Public School;Emily Carr Elementary;""{""""coordinates"""": [-123.12609640999999",49.25004165," """"type"""": """"Point""""}"";South Cambie;49.2500416521",-123.1260964,-123.1260964,49.25004165
"4196 W 4th Av;Independent School;Family Montessori School;""{""""coordinates"""": [-123.1982460233882",49.26766798," """"type"""": """"Point""""}"";West Point Grey;49.2676679823",-123.198246,-123.198246,49.26766798
"2294 W 10th Av;Independent School;Fraser Academy;""{""""coordinates"""": [-123.15727596082289",49.2626607," """"type"""": """"Point""""}"";Kitsilano;49.2626607042",-123.157276,-123.157276,49.2626607
"2330 E 37th Av;Public School;G T Cunningham Elementary;""{""""coordinates"""": [-123.05745595",49.23673223," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2367322261",-123.057456,-123.057456,49.23673223
"3633 Tanner St;Public School;Graham Bruce Community Elementary;""{""""coordinates"""": [-123.02567271",49.24206909," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2420690871",-123.0256727,-123.0256727,49.24206909
"1551 Cypress St;Public School;Henry Hudson Elementary;""{""""coordinates"""": [-123.14935629",49.27224588," """"type"""": """"Point""""}"";Kitsilano;49.2722458781",-123.1493563,-123.1493563,49.27224588
"451 E 53rd Av;Public School;John Henderson Elementary;""{""""coordinates"""": [-123.09527169",49.22256959," """"type"""": """"Point""""}"";Sunset;49.2225695881",-123.0952717,-123.0952717,49.22256959
"4710 Slocan St;Public School;John Norquay Elementary;""{""""coordinates"""": [-123.0516408",49.2414247," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2414246951",-123.0516408,-123.0516408,49.2414247
"5718 Willow St;Independent School;King David High School;""{""""coordinates"""": [-123.1227909397854",49.23344818," """"type"""": """"Point""""}"";Oakridge;49.2334481823",-123.1227909,-123.1227909,49.23344818
"1755 Barclay St;Public School;King George Secondary;""{""""coordinates"""": [-123.13644517",49.28982415," """"type"""": """"Point""""}"";West End;49.2898241521",-123.1364452,-123.1364452,49.28982415
"4195 Alexandra St;Independent School;Little Flower Academy;""{""""coordinates"""": [-123.14226149913934",49.24843134," """"type"""": """"Point""""}"";Shaughnessy;49.2484313418",-123.1422615,-123.1422615,49.24843134
"3663 Penticton St;Public School;Lord Beaconsfield Elementary;""{""""coordinates"""": [-123.05269627000001",49.25213838," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2521383751",-123.0526963,-123.0526963,49.25213838
"3455 W King Edward Av;Public School;Lord Kitchener Elementary;""{""""coordinates"""": [-123.18024556263893",49.25058181," """"type"""": """"Point""""}"";Dunbar-Southlands;49.2505818064",-123.1802456,-123.1802456,49.25058181
